week,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-41,0.2459382440379607,0.8627327682690241,0.3969890997507614,0.598939315241684,22.0
2025-42,,1.0,,1.0,42.0
2025-43,0.0982967543530126,0.707224469218844,0.1833363381490812,0.8089101334241441,41.0
2025-44,,1.0,,1.0,38.0
2025-45,0.005999704230149139,0.6867466472281584,0.02535318568024403,0.7391263365682464,90.0
2025-46,1.1484580560189595,1.0,0.903235048925534,1.0,1.0
