keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Adamstown',-0.13412469384487286,1.0,0.47941257657024167,1.0,1.0
'Antarctica',0.001608676517996999,0.7124178159456732,0.3128886471991458,0.5875511362822404,35.0
'Australia',-0.20370316933772425,0.8863634368622804,-0.43416792549557,0.7890497580868742,6.0
'Barbados',0.0,1.0,0.0,1.0,1.0
'Beijing',-0.4571326682127138,1.0,-0.5130506841943082,1.0,1.0
'Bern',0.34375,0.2209708691207961,0.37604166666666666,0.060398704226350956,2.0
'Brazil',0.8788289355560401,1.0,0.7699144059653766,1.0,1.0
'Canada',-0.1372422591404652,0.5466431764703811,-0.05724018596508084,1.1767869743722568,6.0
'Canberra',-0.08888888888888889,1.0,0.17777777777777778,1.0,1.0
'China',-0.062382346758029616,0.41796372958243627,-0.28264065815705053,0.7128337063605846,5.0
'Christmas Island',0.23049016354549726,0.6718178678814878,0.30396888447189624,0.8938102268512983,8.0
'Cocos Islands',-0.05692877755661939,0.4308487181704998,0.03148448865184003,0.6872225902811738,2.0
'Cyprus',-2.267786838055363,1.0,2.267786838055364,1.0,1.0
'Dominican Republic',-1.3568903517727644,1.0,0.8603668616478853,1.0,1.0
'Dublin',-0.26866463441991595,1.0,0.04061702356282839,1.0,1.0
'France',-0.04504973130702683,0.7113989280793905,-0.4391823363099537,0.46405875111594747,3.0
'French Southern Territories',0.4476060192436631,0.522607438419098,0.3731864642261793,0.7069811628502743,8.0
'Georgia',-0.95139834095272,1.0,-0.581842596837871,1.0,1.0
'Ghana',0.9538027458566191,1.0,0.25533821091651604,1.0,1.0
'Greenland',0.37796447300922736,1.0,-0.3779644730092267,1.0,1.0
'Guam',-0.3457523648178384,1.0,-0.36142238447167846,1.0,1.0
'Heard Island and McDonald Islands',-0.23128670997671535,0.4894077788820025,-0.6184061108036973,0.058061728025262396,2.0
'Heard Island',0.036635100409643184,0.6284666868317209,-0.031449398810636395,0.9741487872299326,5.0
'Hollywood',0.13730202853420687,0.7124516318345363,0.41864672550390397,0.6837530844117661,4.0
'Iceland',0.6589795558184164,0.5142908491875741,0.9268594191154376,0.6945892592997555,5.0
'Indonesia',-0.47643958355321414,0.6387721233992477,0.5004194782653204,0.01985774384311057,2.0
'Ireland',-0.147117091610804,0.7470320534063741,-0.0653760892463291,0.9141510671812005,3.0
'Israel',-0.05892857142857143,0.09343911037107949,0.4995748299319728,0.17737797657315602,2.0
'Italy',-0.21234853954687405,1.0131333275124668,0.2809519156918104,0.6009771985631279,3.0
'Jakarta',-0.20000000000000004,1.0,0.5777777777777778,1.0,1.0
'Jamaica',0.08620056493752756,0.9491390952351522,0.43636284443587303,0.9744027863152046,10.0
'Japan',-0.21109323165384122,0.859120669033229,0.6618727975022337,1.3469323666095108,3.0
'Jersey',-0.25575197095301255,1.0,-0.7751150118648725,1.0,1.0
'Kuala Lumpur',-0.7071067811865475,1.0,0.7071067811865461,1.0,1.0
'McDonald Islands',0.4599621051905651,0.8539972321917042,0.08972250051068915,0.7849117154160375,3.0
'New Zealand',-0.2862806633205465,0.5951380032869173,0.744462481502369,0.05282893801856751,2.0
'Nigeria',-0.7071067811865475,1.0,-0.7071067811865476,1.0,1.0
'Pakistan',0.04234006734006733,1.0,0.2186026936026936,1.0,1.0
'Paris',-0.05452190131818996,0.3940127133580588,0.15723826757993856,1.0210014156640295,3.0
'Peru',0.7071067811865475,1.0,-0.7071067811865479,1.0,1.0
'Philippines',-0.05430450857201141,1.5329099743018726,0.6065882169198211,0.2570777284096999,2.0
'Pitcairn',0.10306466985099487,0.3841257058145087,0.2690367649540732,0.43648330064289587,3.0
'Plymouth',3.892679015729303,1.0,1.9763303967335224,1.0,1.0
'Portugal',0.08029304247240066,1.510613449009984,-0.2521165577018855,1.6339139114020416,2.0
'Republic of the Congo',-0.45240935110049707,1.0,-0.5361704069426905,1.0,1.0
'Rome',-0.7071067811865475,1.0,-0.7071067811865477,1.0,1.0
'Russia',-0.7071067811865476,1.0,-0.7071067811865474,1.0,1.0
'Saint Eustatius',1.6575762139587678,1.0,0.08271968569546087,1.0,1.0
'Saint Pierre and Miquelon',0.37796447300922736,0.0,-0.3779644730092267,0.0,2.0
'San Jose',0.6721842046118752,1.0,0.6928734399494063,1.0,1.0
'South Africa',-0.1,1.0,0.1,1.0,1.0
'South Georgia and the South Sandwich Islands',0.14285714285714285,1.0,0.28214285714285714,1.0,1.0
'South Korea',0.17880163318159892,0.37812943517859054,0.06863326877076484,0.5913134467588717,4.0
'Spain',-0.13885376450963932,1.0,-0.23645278631343794,1.0,1.0
'Tajikistan',0.24938775510204078,1.0,0.36081632653061224,1.0,1.0
'Tallinn',-1.0793211593099457,1.0,-0.8338398738260066,1.0,1.0
'The Valley',1.2068432687966126,1.0,0.6733842045029693,1.0,1.0
'Tokelau',0.40980878457365644,1.0,0.7306122291802438,1.0,1.0
'US',-0.15682381072832147,0.8622441449443211,-0.10736800017054612,0.6872763398885405,14.0
'USA',0.14304204017420497,0.4484055321594277,0.11158568965671974,0.7817888884385624,10.0
'Ukraine',0.16666666666666669,1.0,0.196969696969697,1.0,1.0
'United States Minor Outlying Islands',0.7071067811865475,1.0,0.7071067811865475,1.0,1.0
'United States',-0.0548241164419244,0.7227702240861016,-0.14841739747610178,0.885824181230251,10.0
'Vatican City',0.2668498225037067,0.7769898073115028,0.33941739991356845,0.7239301247416552,9.0
'Vatican',-0.04780972129767133,0.7657037910246517,-0.05787634314827348,0.8562282815460341,57.0
